BER_SPO1/18/11,BER_SPO2/18/11,OSNR_SPO1/18/11,OSNR_SPO2/18/11,Ampli1_InputPower,Ampli1_OutputPower,Ampli2_InputPower,Ampli2_OutputPower,Ampli3_InputPower,Ampli3_OutputPower,Ampli4_InputPower,Ampli4_OutputPower,LT
-17.18230651,-17.50039799,32.8,28.6,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.9099588,-17.56201912,31.7,29.8,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.87524816,-17.5369132,34.8,30.1,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.90335812,-17.56201912,34.3,29.5,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.87524816,-17.51242218,33.9,31.5,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.91882804,-17.55779079,34.7,29.6,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.88596638,-17.48851666,32.7,30,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.87311824,-17.56201912,33.9,29.1,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.86253613,-17.58777162,34.1,29.9,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.88381352,-17.5286827,34.6,29.1,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.87952167,-17.5369132,33.8,29.2,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.87099284,-17.57911356,34.4,29.3,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.85833444,-17.52459272,33.1,29.3,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.88596638,-17.5369132,34.3,30.5,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.87524816,-17.54521201,34.7,29.5,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.82129317,-17.50839803,32.5,29.9,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.87738263,-17.54521201,32.9,30.5,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.57380198,-17.57052981,33.3,29.7,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.88596638,-17.52459272,32,29.5,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-17.12869706,-17.51242218,33.7,29.3,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.83553552,-17.52051939,32.3,29.6,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.84998366,-17.52459272,33.8,30.2,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.83348844,-17.5369132,33.6,29.5,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.84376602,-17.51646259,32.1,28.7,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.8562402,-17.541054,32.5,30,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.85206483,-17.54938738,33.6,29.3,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.8294068,-17.52459272,32.9,30.1,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.86675554,-17.5369132,34.7,30.5,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.86253613,-17.56201912,33.7,29.3,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.83144554,-17.48851666,31.5,29.5,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.8294068,-17.52459272,32.3,29.1,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.80327466,-17.53278949,32.2,28.8,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.80924483,-17.50839803,34.1,29.5,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.80725081,-17.4651693,31.7,29.4,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.86464361,-17.54521201,33.6,29,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.84376602,-17.50039799,34.3,30.3,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.82737221,-17.52459272,32.8,29.2,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.8294068,-17.5286827,34,29.6,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-17.1509202,-17.5286827,34.4,29.2,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.84790682,-17.52459272,33.6,29.3,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.8562402,-17.55779079,32.9,29.4,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.88381352,-17.5286827,33.9,30.1,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.85415033,-17.541054,32.2,29.9,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.86043308,-17.54521201,33.9,29.1,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.90775373,-17.541054,34.1,29.4,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.88596638,-17.541054,34.2,29.4,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.89245289,-17.83289408,34.2,29.5,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.91438359,-17.52459272,34.4,29.1,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.88381352,-17.52459272,32.8,30.2,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.83964231,-17.52459272,34.8,29.6,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.84170204,-17.54521201,34.2,30.6,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.83964231,-17.56626542,33.5,29.1,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.8172609,-17.50839803,32.7,29.7,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.84376602,-17.52459272,33.5,29.6,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.9099588,-17.56626542,31.5,30.9,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.84790682,-17.51242218,34.5,28.9,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.82129317,-17.54521201,34.1,29,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.85206483,-17.57911356,32.8,29.7,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.87952167,-17.54938738,31.8,28.8,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.84376602,-17.51646259,34,30,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.84170204,-17.57481248,32.6,29,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.8562402,-17.56201912,33,29.8,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.8012925,-17.5369132,33.2,29.8,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.80327466,-17.48067349,32.9,30.2,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.83758681,-17.5369132,33.9,29.6,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.8294068,-17.84406738,31.4,29.4,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.81324483,-17.55779079,32.7,30.7,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.83964231,-17.55779079,33.2,29.5,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.85833444,-17.5286827,33.9,29.3,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.84376602,-17.53278949,32.1,30,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.8562402,-17.5286827,34,30.8,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-17.1314481,-17.56201912,31.6,28.8,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.84376602,-17.50839803,34,29.3,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.84170204,-17.52051939,33.9,28.9,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.89462444,-17.82184424,34.3,28.9,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.83758681,-17.50439001,34.4,29.7,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.86043308,-17.55779079,33.4,29.8,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.86464361,-17.57052981,34,29.5,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.87524816,-17.541054,31.8,30.7,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.86464361,-17.541054,34.1,29.1,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.8562402,-17.55779079,34.2,29.4,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.87952167,-17.58343322,33.2,28.8,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.87311824,-17.541054,31.9,30,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.89680072,-17.56626542,32,29.4,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.8816653,-17.56626542,34.5,29.6,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-17.15938287,-17.55358026,33.9,29.4,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.83348844,-17.56201912,33.2,29.1,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.86675554,-17.50839803,34.7,29,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.84583428,-17.55358026,32.8,30.4,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.82534176,-17.55358026,34.3,29.8,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.84998366,-17.51242218,33.7,29.8,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.86464361,-17.56201912,33.8,29.7,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.80924483,-17.52051939,32.2,29.1,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-10.82756351,-17.51646259,33.3,29.2,-13.8,1.4,-13.5,1.6,-15,0.7,-14.2,1.2,1
-9.168540296,-17.54938738,19,28.9,-13.8,1.4,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
